Provider,Plan,Permanent_Zero_Cost,Card_Required,Fails_Closed_On_Overage,Storage_Capacity_Fit,768d_Supported,Idle_Behavior,Deletion_Behavior,Concurrency_Mechanism,Runtime_Compatibility,Hard_Gate_Result,Evidence_Confidence
Pinecone Starter,Starter (serverless OnDemand),PASS,UNKNOWN,PASS (429 RESOURCE_EXHAUSTED),PASS - 2GB vs ~63MB raw (3.2% at 1x; ~9.5% at 3x),PASS (cosine confirmed; no tier restriction),PASS - no inactivity policy found across exhaustive official page set,PASS - only user-initiated / non-payment / account-closure triggers,UNKNOWN - no native CAS; generation-scoped-ID protocol designed but not implemented/tested,PASS (REST API + Node SDK v8.2.0 GA),SCREENING_PASS / BENCHMARK_PENDING / PRODUCTION_NOT_APPROVED,MEDIUM-HIGH
Neon (Postgres+pgvector),Free,PASS,PASS (not required),PASS (fails closed),PASS at 1x; UNKNOWN at 2-3x growth (community-heuristic estimate only),PASS,PASS - automatic 5-min scale-to-zero; official docs; sub-second resume,PASS - no deletion policy found,PASS - real ACID transactions,PASS (HTTP-native GA driver v1.0.0),SCREENING_PASS_WITH_CAPACITY_RISK / BENCHMARK_PENDING,MEDIUM
Weaviate Cloud,Free (policy changed 2026-06-17),PASS,PASS (not required),UNKNOWN (overage mechanic undocumented),PASS - 62% at 3x,PASS,UNKNOWN - calendar-trial-expiry resolved; usage-based-suspension NOT resolved despite two research passes,UNKNOWN,UNKNOWN - no native CAS; fallback protocol not designed,UNKNOWN - gRPC/http2 dependency confirmed broken in some serverless runtimes via an open GitHub issue; not tested against Convex specifically,UNKNOWN/CONDITIONAL - not promoted,LOW (Gate 3) / MEDIUM (other gates)
LambdaDB,Free (2GB storage; 2GB writes/mo; 1PB reads/mo; 500K LIU/mo),PASS (ToS-confirmed; no dormancy trigger),PASS (not required),UNKNOWN,PASS - 2GB vs ~63MB,UNKNOWN (not researched),PASS (ToS-confirmed; no inactivity trigger),PASS (ToS-confirmed),UNKNOWN (not researched),UNKNOWN (not researched),UNKNOWN/CONDITIONAL - whole product is in public preview per its own live docs; not promoted,LOW - gates 5-10 unresearched
Lantern Cloud,Free (0.25vCPU/0.5GB RAM; pgvector),PASS (ToS does not contradict "never pauses" marketing),PASS (not required),UNKNOWN,UNKNOWN - storage cap genuinely unpublished after two real attempts,PASS (standard pgvector),PASS by evidence (explicit marketing + no contradicting ToS clause),UNKNOWN,PASS (real Postgres transactions via pgvector foundation),PASS (standard Postgres),UNKNOWN/CONDITIONAL - capacity gate itself unresolved; not promoted,LOW (Gate 2) / MEDIUM-HIGH (Gate 3)
TiDB Cloud (Starter),Starter (5 free instances/org),PASS,PASS (not required for first 5 instances),PASS (fails closed - denies new connections),PASS - ~1.2% raw at 1x; ~60% index-overhead estimate at 3x,PASS,PASS - no account-level suspend found; index-only transparent cold-reload,PASS,PASS (real ACID transactions),PASS (fetch-compatible HTTP driver; still pre-1.0),CONDITIONAL full stop - vendor's own docs call vector search "experimental...not recommended for production",HIGH (facts) / vendor-flagged risk (not evidence gap)
Cloudflare Vectorize,Workers Free / Workers Paid ($5/mo flat),PASS (Free tier itself permanent),PASS (not required on Free),PASS (fails closed on Free - no billing relationship possible),FAIL at true $0 - 317% of free 5M stored-dimension quota; PASS at $5/mo Paid (comfortable even at 3x),PASS,UNKNOWN/INFERENCE - no policy found; architectural inference only (serverless metered API; no provisioned cluster),UNKNOWN,UNKNOWN - no native CAS,PASS (plain HTTPS REST API confirmed callable outside Workers),Soft-fail - not $0 as strictly specified; resolves at ~$5/mo flat,MEDIUM
LanceDB Cloud,Beta (usage-based pricing at GA),FAIL - only tied to beta status; no post-GA commitment,UNKNOWN,UNKNOWN,UNKNOWN - no numeric limits published,PASS,UNKNOWN - no policy documented anywhere found,UNKNOWN,PASS - genuine OCC/MVCC via Lance format atomic commits,UNKNOWN - native Rust/napi-rs SDK not fetch-based; REST API exists as fallback,FAIL - revisit at GA with published pricing,MEDIUM (technical facts) / LOW (commercial terms)
Vectroid,Free forever marketing (100GB storage; 10M writes/mo; 1M queries/mo),FAIL - ToS has explicit 60-day inactivity-to-deletion clause,PASS (not required),UNKNOWN,PASS (large margin; moot given Gate 3 fail),UNKNOWN (not deep-dived),FAIL - 60-day inactivity triggers deletion,FAIL,UNKNOWN,UNKNOWN,FAIL - marketing directly contradicted by own ToS,HIGH
Upstash Vector,Free,PASS (tier concept only),PASS (not required),PASS (fails closed - no card on file),PASS (200M vector-dimension budget vs ~15.9M needed),UNKNOWN,FAIL - ToS mandates deletion after 1 week no requests,FAIL - no warning period or restoration mechanism documented,UNKNOWN,UNKNOWN,FAIL,HIGH
Qdrant Cloud,Free forever,PASS,PASS (not required),PASS (manual upgrade path only),PASS (resource-based: 1GB RAM/4GB disk comfortable),UNKNOWN,FAIL - auto-suspend at 1 week,FAIL - auto-delete at 4 weeks,UNKNOWN,UNKNOWN,FAIL,HIGH
Chroma Cloud,Starter ($0/mo + usage after $5 one-time credit),FAIL - one-time credit not a standing tier,UNKNOWN,PASS (spend-cap pause mechanism - fail-closed),UNKNOWN (not reached),UNKNOWN,UNKNOWN - no idle policy found; only spend-cap pause,UNKNOWN,UNKNOWN,UNKNOWN,FAIL,HIGH (Gate 1) / not deep-dived further
Redis Cloud Free,Essentials (30MB),PASS (tier concept),PASS (not required),UNKNOWN,FAIL - 30MB cap smaller than raw payload alone,UNKNOWN,FAIL - 14-day inactivity trigger,FAIL - permanent unrecoverable no backup,UNKNOWN,UNKNOWN,FAIL - worse than Zilliz (data loss not just suspend),HIGH
Typesense Cloud,Free (one-time 720hr/~30-day trial),FAIL - non-replenishing trial; architecturally cannot be permanent,UNKNOWN,FAIL - auto-bills on exhaustion,UNKNOWN (not reached),PASS (cosine default),n/a (trial-based not idle-based),n/a,UNKNOWN,UNKNOWN,FAIL,HIGH
Supabase,Free (500MB Postgres+pgvector),PASS,PASS (not required),UNKNOWN (soft-limit service restrictions),PASS (same order of magnitude as Neon; not independently re-measured),PASS (standard pgvector),FAIL - 7-day auto-pause,FAIL - manual dashboard resume required,PASS (real Postgres transactions),PASS (standard Postgres),FAIL,HIGH
MongoDB Atlas Vector Search,M0 (free 512MB),PASS,PASS (not required),UNKNOWN (hard-capped tier),PASS (same order of magnitude as Neon; not independently re-measured),PASS,FAIL - 30-day auto-pause,FAIL - manual resume required,UNKNOWN,FAIL - HTTP Data API sunset 2025-09-30; TCP driver only,FAIL - also vendor-flagged testing only,HIGH
DataStax Astra DB,Serverless (recurring monthly credits),UNKNOWN - recurring credits not a static permanent quota,UNKNOWN,FAIL - quota exhaustion also triggers hibernation,UNKNOWN (reported ~40GB not independently verified),PASS,FAIL most severe - 48hr hibernate trigger,FAIL - 30-day hibernated then permanent auto-delete,UNKNOWN,UNKNOWN (503 + manual poll-retry on resume),FAIL - worst idle-policy result of the whole study,HIGH (Gate 3) / LOW (Gate 1/2)
Couchbase Capella,Free (perpetual marketing),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FAIL - deleted after 30 days inactivity,FAIL,UNKNOWN,UNKNOWN,FAIL,MEDIUM-HIGH
Algolia,Build (free) / Grow / Grow Plus (self-serve paid),FAIL - vector capability itself is enterprise-only,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,FAIL - no $0 path to vector search at all,HIGH
Elastic Cloud (managed),14-day trial,FAIL - card required within trial window to continue,FAIL - required to continue,n/a,n/a,n/a,n/a,n/a,n/a,n/a,FAIL,HIGH
AWS OpenSearch Service,12-months-free (750hrs t2/t3.small.search),FAIL - time-limited not permanent,UNKNOWN,FAIL - standard rates apply automatically after 12mo,n/a,n/a,n/a,n/a,n/a,n/a,FAIL,HIGH
