path,category,owner,status
convex/embeddings/generate.ts,EMBEDDING,Embedding Team,verified
convex/embeddings/dimension.ts,EMBEDDING,Embedding Team,verified
convex/embeddings/contextualize.ts,EMBEDDING,Embedding Team,verified
convex/embeddings/contextualizeCron.ts,EMBEDDING,Embedding Team,verified
convex/embeddings/search.ts,VECTOR_RETRIEVAL,Retrieval Team,verified
convex/rag/routing.ts,ROUTING,RAG Core,verified
convex/rag/context.ts,CONTEXT_BUILDING,RAG Core,verified
convex/rag/crag.ts,CRAG,RAG Core,verified
convex/rag/faithfulness.ts,EVIDENCE_GATE,RAG Core,verified
convex/rag/prompts.ts,GENERATION,RAG Core,verified
convex/rag/constants.ts,ROUTING,RAG Core,verified
convex/rag/retrieval.ts,HYBRID_RETRIEVAL,Retrieval Team,verified
convex/reranking/rerank.ts,RERANKING,Retrieval Team,verified
convex/reranking/cascade.ts,RERANKING,Retrieval Team,verified
convex/reranking/groqRerank.ts,RERANKING,Retrieval Team,verified
convex/cache/validate.ts,CACHE,Cache Team,verified
convex/cache/multiVector.ts,CACHE,Cache Team,verified
convex/crawl/staleness.ts,TEMPORAL_GOVERNANCE,Governance Team,verified
convex/crawl/mutations.ts,INGESTION,Ingestion Team,verified
convex/crawl/chunking.ts,INGESTION,Ingestion Team,verified
convex/observability/events.ts,OBSERVABILITY,SRE Team,verified
convex/observability/trace.ts,OBSERVABILITY,SRE Team,verified
convex/observability/metrics.ts,OBSERVABILITY,SRE Team,verified
convex/schema.ts,SCHEMA,Backend Lead,verified
convex/crons.ts,SCHEDULING,SRE Team,verified
src/lib/llm-models.ts,ROUTING,RAG Core,verified
src/lib/chat/models.ts,ROUTING,RAG Core,verified
